maxwidth,execution_time,MAE,MSE,R2_Score
3,389.69517254829407,0.06950487651162791,0.00783589992086213,0.8079365031211925
5,619.005122423172,0.048954477267441864,0.004075050433652827,0.900117606892719
7,542.610050201416,0.043451101104651155,0.003304457226094688,0.919005396120429
