maxwidth,execution_time,MAE,MSE,R2_Score
3,206.54280257225037,0.10570279138372093,0.01832325698955661,0.6770869630551372
5,324.5892262458801,0.09232206719767443,0.014337732418393815,0.7473243582860214
7,423.2255551815033,0.07975701708139533,0.01095363340176591,0.8069627561649722
