maxwidth,execution_time,MAE,MSE,R2_Score
3,198.01417446136475,0.06560150314534885,0.007629967170009424,0.7558538269365379
5,366.07771849632263,0.04607447977325581,0.00424369093780012,0.8642089960490991
7,1228.275634765625,0.03642060035465116,0.002738366121404771,0.9123768695079739
