k,numlocal,maxneighbor,execution_time,num_clusters,silhouette_score
2,6,4,1.7981722354888916,2,0.3416309047198911
2,6,6,1.4307496547698975,2,0.3542113140080148
2,6,8,3.055194854736328,2,0.38052801932195096
2,6,10,3.528444766998291,2,0.15469475549786046
2,10,4,2.2884037494659424,2,0.3934436180240577
2,10,6,2.945361375808716,2,0.36357295048548455
2,10,8,4.453992605209351,2,0.15244424461356718
2,10,10,5.219789028167725,2,0.3866630588115104
2,15,4,3.2019712924957275,2,0.3394429461349763
2,15,6,4.210378885269165,2,0.38545708351748414
2,15,8,5.506334066390991,2,0.16196168199571956
2,15,10,5.589203834533691,2,0.3729947718931012
2,20,4,3.8040108680725098,2,0.17325009048728887
2,20,6,5.258717775344849,2,0.404094886359967
2,20,8,5.847803354263306,2,0.37260196449224636
2,20,10,7.054895877838135,2,0.34485518392399694
3,6,4,0.9684755802154541,3,0.19474691460395194
3,6,6,4.330187797546387,3,0.17148449866049095
3,6,8,4.145482778549194,3,0.22348918347153568
3,6,10,4.671652793884277,3,0.239801621972963
3,10,4,3.2039613723754883,3,0.2357376265417689
3,10,6,4.466972351074219,3,0.21547684303901127
3,10,8,4.892309904098511,3,0.23548578676453477
3,10,10,5.585212469100952,3,0.2692282400052579
3,15,4,3.768075704574585,3,0.2548531916746069
3,15,6,6.016531705856323,3,0.26701771903226185
3,15,8,7.27056360244751,3,0.22191168222276683
3,15,10,7.342450857162476,3,0.2295745551618826
3,20,4,4.949214696884155,3,0.23794453642251154
3,20,6,7.138769149780273,3,0.26766889920444575
3,20,8,8.315919876098633,3,0.23975634013755948
3,20,10,9.898425817489624,3,0.23405723122642025
4,6,4,1.050356388092041,4,0.18980801582740162
4,6,6,4.132497310638428,4,0.22089723352203058
4,6,8,6.058468818664551,4,0.211822664166962
4,6,10,6.372980833053589,4,0.17173113012350455
4,10,4,4.652676105499268,4,0.21399968450103718
4,10,6,5.3485798835754395,4,0.21475801207206177
4,10,8,6.134348392486572,4,0.1963930843370802
4,10,10,8.308929920196533,4,0.19373154251503327
4,15,4,6.072444915771484,4,0.18272408957761493
4,15,6,8.053326606750488,4,0.18915573743811345
4,15,8,7.9964213371276855,4,0.1877969443388538
4,15,10,9.69774317741394,4,0.20649719608761566
4,20,4,6.459837913513184,4,0.18672053183537038
4,20,6,9.11366319656372,4,0.24353144677638294
4,20,8,9.084708213806152,4,0.23134931288478033
4,20,10,12.06202507019043,4,0.20166018222081986
5,6,4,1.7562294006347656,5,0.14884454488131565
5,6,6,5.464400291442871,5,0.19721453551141824
5,6,8,6.353003263473511,5,0.20396916751531696
5,6,10,5.197826862335205,5,0.19854744947314962
5,10,4,3.811999559402466,5,0.18451659548746363
5,10,6,16.33866858482361,5,0.23286915484307263
5,10,8,10.07714557647705,5,0.20753151478749815
5,10,10,13.804467678070068,5,0.20368420907309698
5,15,4,7.686905384063721,5,0.21702756240135368
5,15,6,7.299508094787598,5,0.22225911720246855
5,15,8,10.372683763504028,5,0.18953648842009937
5,15,10,11.839272260665894,5,0.22734088805359037
5,20,4,7.7927405834198,5,0.22637835034662362
5,20,6,19.828295946121216,5,0.20218350693982753
5,20,8,13.135343074798584,5,0.16873573473253234
5,20,10,19.631114721298218,5,0.24066839632245493
6,6,4,3.8040099143981934,6,0.20477947924353443
6,6,6,7.0229527950286865,6,0.19940473146806809
6,6,8,6.31605863571167,6,0.2121632330417394
6,6,10,7.751803398132324,6,0.19930743410778126
6,10,4,5.47938871383667,6,0.1989783265903799
6,10,6,14.90010929107666,6,0.21893382115767085
6,10,8,8.385808229446411,6,0.22062849584351482
6,10,10,10.679198741912842,6,0.21629615815572098
6,15,4,8.53556776046753,6,0.20079577621007286
6,15,6,10.454549074172974,6,0.2324674253576224
6,15,8,12.497336626052856,6,0.21691903547275646
6,15,10,14.860620260238647,6,0.2063977938247379
6,20,4,23.42656373977661,6,0.1933727866464475
6,20,6,16.647205591201782,6,0.2145139643610537
6,20,8,20.93731665611267,6,0.2282579535908471
6,20,10,16.58857798576355,6,0.2060184227722006
