maxwidth,bootstrap_sample_size,n_base_learner,numb_of_features_splitting,execution_time,MAE,MSE,R2_Score
3,686,3,2,62.56531000137329,0.10162496857170542,0.015629648556030093,0.49987741804701624
3,686,3,3,64.62993049621582,0.08283505175,0.013208842719389269,0.5773391511811602
3,686,6,2,67.93436884880066,0.09136429496705427,0.013677307903911234,0.5623490497212131
3,686,6,3,87.14073848724365,0.08678651349418604,0.01277075054157273,0.5913573672861205
5,686,3,2,40.7546923160553,0.07860916795155039,0.01067893826170193,0.6582918575031973
5,686,3,3,74.51107597351074,0.06518168744767443,0.008782154658626994,0.718985756638244
5,686,6,2,85.00806713104248,0.06659617830038761,0.008381827318439655,0.731795561176275
5,686,6,3,132.03127694129944,0.06944037357170543,0.007724809900868595,0.7528190183631576
