maxwidth,bootstrap_sample_size,n_base_learner,numb_of_features_splitting,execution_time,MAE,MSE,R2_Score
3,686,3,2,30.610858917236328,0.1359049563672481,0.029727991167603628,0.4173546100932165
3,686,3,3,44.469183921813965,0.12352115477810079,0.0223930755076553,0.561113223668197
3,686,6,2,62.7297899723053,0.13288966408042635,0.027277224805762543,0.4653877151360296
3,686,6,3,81.22847127914429,0.1408209882277132,0.030381772875746386,0.4045409996441568
5,686,3,2,45.16535496711731,0.09993810590213179,0.015866404920090706,0.6890308655917716
5,686,3,3,71.24974322319031,0.10717995481686048,0.01896318770481293,0.6283363436212668
5,686,6,2,97.76439261436462,0.11202364749127906,0.01955946793331422,0.6166497172269665
5,686,6,3,127.65601181983948,0.11189226206492249,0.019546850408921453,0.6168970108425369
