maxwidth,bootstrap_sample_size,n_base_learner,numb_of_features_splitting,execution_time,MAE,MSE,R2_Score
3,686,3,2,37.36078953742981,0.11183751549224806,0.019245383081417065,0.6608362202456863
3,686,3,3,55.043843269348145,0.14186794153875967,0.028762499278962284,0.4931148977723918
3,686,6,2,61.87230587005615,0.13475349215891474,0.027193566994530766,0.5207643865622602
3,686,6,3,89.67003774642944,0.12598899196511626,0.02337535508526074,0.5880532099425222
5,686,3,2,45.2469220161438,0.09558865045348837,0.014725936282554026,0.7404829933037396
5,686,3,3,101.94204831123352,0.09931995677131783,0.01581458646557728,0.7212975757237219
5,686,6,2,189.58632469177246,0.10214266925193799,0.016931901786843426,0.701606988847125
5,686,6,3,250.6000781059265,0.09274865181007752,0.013276845560861518,0.7660204993277531
