maxwidth,bootstrap_sample_size,n_base_learner,numb_of_features_splitting,execution_time,MAE,MSE,R2_Score
3,686,3,2,28.566267013549805,0.08980278662790699,0.013863297339001665,0.6602006926976708
3,686,3,3,46.249178647994995,0.0863925727131783,0.0121706915799965,0.7016876672883281
3,686,6,2,63.68373227119446,0.07956202817829458,0.011230564943536551,0.7247308417968079
3,686,6,3,87.27347445487976,0.06685347624031009,0.008584089814873758,0.7895978350901378
5,686,3,2,45.808746576309204,0.05862439507751938,0.007370917502735516,0.8193335538893874
5,686,3,3,61.29906725883484,0.06290819879844962,0.0067760906341308635,0.8339131847646515
5,686,6,2,87.832439661026,0.06335376290697675,0.006925405688827245,0.8302533662586384
5,686,6,3,113.07743525505066,0.05630608899224805,0.006133094641869882,0.8496734752226638
