Eps,MinPts,num_clusters,num_noise,silhouette_score
0.5,3,21,259,0.13591809718963072
0.5,5,21,259,0.13591809718963072
0.5,10,21,259,0.13591809718963072
0.5,15,21,259,0.13591809718963072
1.0,3,21,235,0.14873664823810107
1.0,5,21,235,0.12925213243204964
1.0,10,21,235,0.12925213243204964
1.0,15,21,235,0.12925213243204964
2.0,3,21,82,0.017351196531013736
2.0,5,21,82,0.024052962996652015
2.0,10,21,82,0.017351196531013736
2.0,15,21,82,0.017351196531013736
5.0,3,21,1,-0.07791581774099335
5.0,5,21,1,-0.1334550131889016
5.0,10,21,1,-0.1334550131889016
5.0,15,21,1,-0.1334550131889016
