Algorithm,Average Execution Time,Average MAE,Average MSE,Average R2_Score
Decision Tree (Tuned),349.8883328437805,0.09259395855426356,0.014538207603238778,0.7437913591687103
Decision Tree (Predefined),0.026210784912109375,0.07130814105345809,0.010217931760934567,0.8199281176867567
Random Forest (Tuned),103.91529369354248,0.11303098368023254,0.01991575931700089,0.64902209646565
Random Forest (Predefined),0.35908055305480957,0.061240255174645174,0.007982514926716575,0.8593231465938129
