Algorithm,Average Execution Time,Average MAE,Average MSE,Average R2_Score
Decision Tree (Tuned),231.15263422330221,0.05397015162790697,0.005071802526869882,0.8756865020447803
Decision Tree (Predefined),0.2605445384979248,0.0467464435478435,0.0037356474367667386,0.9084366164629583
Random Forest (Tuned),66.72379264235497,0.07047541369186047,0.009131769018121497,0.7761738271260357
Random Forest (Predefined),0.21429729461669922,0.04224796321148587,0.0036557343359560597,0.9103953435706469
