Algorithm,Average Execution Time,Average MAE,Average MSE,Average R2_Score
Decision Tree,349.8883328437805,0.09259395855426356,0.014538207603238778,0.7437913591687103
Random Forest,103.91529369354248,0.11303098368023254,0.01991575931700089,0.64902209646565
