Algorithm,Average Execution Time,Average MAE,Average MSE,Average R2_Score
Decision Tree,231.15263422330221,0.05397015162790697,0.005071802526869882,0.8756865020447803
Random Forest,66.72379264235497,0.07047541369186047,0.009131769018121497,0.7761738271260357
