Algorithm,Average Execution Time,Average MAE,Average MSE,Average R2_Score
Decision Tree (Tuned),257.29473574956256,0.10027043985562013,0.018652267286570035,0.6344301407869
Decision Tree (Predefined),0.03422212600708008,0.09523652468415064,0.01731842799121325,0.6605723483761923
Random Forest (Tuned),70.10922583937645,0.12052134171608528,0.022964496915488394,0.5499138107280177
Random Forest (Predefined),0.35875535011291504,0.0695654962169272,0.009803092120298193,0.8078670570600927
