Algorithm,Average Execution Time,Average MAE,Average MSE,Average R2_Score
Decision Tree,225.09737038612366,0.06503420186627908,0.007361107445009423,0.7644568879310407
Random Forest,87.67194470763206,0.07963924978294573,0.011228736594230997,0.6406992314993452
