Algorithm,Average Execution Time,Average MAE,Average MSE,Average R2_Score
Decision Tree,257.29473574956256,0.10027043985562013,0.018652267286570035,0.6344301407869
Random Forest,70.10922583937645,0.12052134171608528,0.022964496915488394,0.5499138107280177
