winter_PSurf,spring_PSurf,summer_PSurf,autumn_PSurf,winter_Qair,spring_Qair,summer_Qair,autumn_Qair,winter_Tair,spring_Tair,summer_Tair,autumn_Tair,winter_Wind,spring_Wind,summer_Wind,autumn_Wind,lon,lat,sand % topsoil,silt % topsoil,clay % topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CaCO3 % topsoil
0.6459636,0.6177315,0.6257909,0.6272604,0.52549195,0.4311886,0.7328557,0.49084955,0.5795736,0.63454896,0.53567386,0.6212495,0.7389305,0.6858294,0.9764356,0.66511613,0.0,0.45714283102040965,0.4438152706201677,0.452745089161861,0.3561066066783636,0.3697956164933743,0.3524715271586489,0.22844729117546908,0.2481176356859755,0.22465865847502448
0.6392579,0.60975105,0.6175653,0.6198516,0.51409477,0.41937315,0.7347894,0.47364992,0.5779308,0.6255934,0.50232995,0.60788494,0.6813096,0.6617145,0.9499696,0.67454916,0.0,0.4857142579591852,0.5225871332252784,0.38921567864282985,0.3051619381720321,0.30285689562702395,0.27591662533233596,0.2155163124296878,0.10848433421767759,0.7529995551096584
0.6008444,0.57044923,0.5782098,0.58105767,0.47075516,0.36802533,0.72642404,0.42679727,0.5551559,0.59152496,0.4432612,0.5700034,0.6259341,0.6669687,0.8979245,0.65825677,0.0,0.5142856848979608,0.5225871332252784,0.38921567864282985,0.3051619381720321,0.30285689562702395,0.27591662533233596,0.2155163124296878,0.10848433421767759,0.7529995551096584
0.6430809,0.6115591,0.61743474,0.6227432,0.41785502,0.26103255,0.5551614,0.30921736,0.5464099,0.57361066,0.38930404,0.54548234,0.34442952,0.52316254,0.6370341,0.4163364,0.0,0.5428571118367365,0.4489744501198635,0.3966666588888891,0.39777327264215123,0.44734657359463376,0.46251919853397366,0.44396360360515696,0.5166432154327011,0.352089352416659
0.68463355,0.6555516,0.66215265,0.6656327,0.52542484,0.37944433,0.6791476,0.4561552,0.5830349,0.6669213,0.58962864,0.6479705,0.67967117,0.6691732,0.9043914,0.61752546,0.02499999875000006,0.45714283102040965,0.37385176325844016,0.3966666588888891,0.39777327264215123,0.3477548181593321,0.3333328017020707,0.3232744686445318,0.3877509371542734,0.34205566531810594
0.6847539,0.6541348,0.6605554,0.66487986,0.50662845,0.33594677,0.66227114,0.40627095,0.567189,0.6381795,0.54338235,0.61449283,0.5821521,0.6391797,0.8572905,0.5954999,0.02499999875000006,0.4857142579591852,0.37385176325844016,0.3966666588888891,0.39777327264215123,0.3477548181593321,0.3333328017020707,0.3232744686445318,0.3877509371542734,0.34205566531810594
0.60727674,0.5756604,0.58227366,0.5867028,0.4633675,0.2885638,0.61669064,0.36470726,0.5655446,0.6274654,0.512633,0.60113233,0.58034456,0.70563483,0.8460779,0.63407356,0.02499999875000006,0.5142856848979608,0.5225871332252784,0.38921567864282985,0.3051619381720321,0.30285689562702395,0.27591662533233596,0.2155163124296878,0.10848433421767759,0.7529995551096584
0.58450395,0.552028,0.55847627,0.5635719,0.38560942,0.1817928,0.44133022,0.23909932,0.5163561,0.56822485,0.438152,0.53652364,0.43199214,0.6321369,0.6411046,0.5074828,0.02499999875000006,0.5428571118367365,0.5256071407372953,0.3519607774125338,0.33316463675498253,0.4122445614330111,0.3269532265498779,0.30172283740156297,0.10848433421767759,0.5386842971169096
0.67354345,0.6401808,0.6442187,0.65220535,0.327813,0.09763234,0.22248268,0.1090077,0.50414723,0.54849935,0.40480807,0.50972724,0.20821145,0.45868954,0.42932212,0.29144982,0.02499999875000006,0.571428538775512,0.17302126370930837,0.770196063329489,0.44736841350593093,0.4391833149523959,0.26315747502795056,0.29310218490437545,0.2588586588758446,0.6359122616502996
0.671875,0.6438771,0.64953464,0.6536508,0.48409167,0.34490567,0.6016861,0.43799576,0.6180203,0.72428834,0.6820436,0.71485245,0.70790154,0.7035542,0.8402582,0.5816503,0.04999999750000012,0.428571404081634,0.37385176325844016,0.3966666588888891,0.39777327264215123,0.3477548181593321,0.3333328017020707,0.3232744686445318,0.3877509371542734,0.34205566531810594
0.72875077,0.69873816,0.70414007,0.70959383,0.49168915,0.31613228,0.6041052,0.39906833,0.57939786,0.6812627,0.62557423,0.6636084,0.6474379,0.6639958,0.84054375,0.587709,0.04999999750000012,0.45714283102040965,0.37385176325844016,0.3966666588888891,0.39777327264215123,0.3477548181593321,0.3333328017020707,0.3232744686445318,0.3877509371542734,0.34205566531810594
0.69030184,0.6590326,0.6649096,0.67025894,0.50770986,0.29180846,0.5945612,0.37001815,0.56372446,0.6597786,0.5948249,0.63461,0.5632484,0.6443393,0.77622503,0.56239116,0.04999999750000012,0.4857142579591852,0.37385176325844016,0.3966666588888891,0.39777327264215123,0.3477548181593321,0.3333328017020707,0.3232744686445318,0.3877509371542734,0.34205566531810594
0.6422699,0.60980713,0.61566275,0.6215939,0.48013097,0.23417646,0.5114992,0.32403964,0.5655462,0.649007,0.5742963,0.62792873,0.5234401,0.678681,0.7205718,0.5594012,0.04999999750000012,0.5142856848979608,0.5225871332252784,0.38921567864282985,0.3051619381720321,0.30285689562702395,0.27591662533233596,0.2155163124296878,0.10848433421767759,0.7529995551096584
0.5453638,0.51275295,0.51937133,0.5243952,0.3827545,0.15627065,0.37107125,0.21662125,0.51271904,0.59339696,0.50501156,0.5565675,0.5017198,0.70741975,0.6423105,0.56813467,0.04999999750000012,0.5428571118367365,0.5256071407372953,0.3519607774125338,0.33316463675498253,0.4122445614330111,0.3269532265498779,0.30172283740156297,0.10848433421767759,0.5386842971169096
